origin;destination;waypointsLong;waypointsLat
7;9;8.62496086222222 8.5656126 8.552838900000001 8.530595199999999 8.5044034 8.505657800000002 8.5211577 8.5334955 8.5413265 8.5441891 7.5615871 7.5613656 7.5599283999999995 7.562151700000001 7.5626757 7.5622666 7.5605327 7.557521400000001 7.555517999999999 7.546058599999999 7.5324201 7.518070080000001;47.443536284444434 47.4161646 47.4141784 47.4136472 47.4087968 47.405972600000005 47.399475 47.3972049 47.3872023 47.379338700000005 46.482589399999995 46.4816001 46.48131 46.482598200000005 46.482143799999996 46.4825928 46.482571 46.4821761 46.4807643 46.4724794 46.4685773 46.471890179999995
9;9;7.518070080000001 7.5130308 7.5060101999999995 7.4944504 7.498829799999999 7.5108880000000005 7.512900999999999 7.5089632 7.4949805 7.483009399999999 7.4946543000000005 7.479074900000001 7.5132924 7.509846799999999 7.507959 7.513056599999999 7.491283999999999 7.4714074 7.4851198000000005 7.4720187000000005 7.486714500000001 7.493280400000001 7.480193300000001 7.4953182 7.5130105 7.4949281 7.5193515 7.518070080000001;46.471890179999995 46.4577994 46.4596148 46.4625961 46.4562516 46.4495843 46.4566229 46.456137 46.4532953 46.446402899999995 46.44462070000001 46.4469231 46.456390500000005 46.446961 46.4410244 46.4573945 46.458466200000004 46.451201899999994 46.4538319 46.4512304 46.454082899999996 46.4538529 46.4465879 46.4443979 46.4572527 46.46243270000001 46.4831936 46.471890179999995
9;9;7.518070080000001 7.519785799999999 7.518070080000001;46.471890179999995 46.4836657 46.471890179999995
9;9;7.518070080000001 7.518797900000001 7.5447907999999995 7.5603232 7.5565841 7.558721 7.5456049 7.5538758 7.5469253 7.553346 7.5458795 7.5528133 7.547020900000001 7.547788799999999 7.5465462 7.5475035 7.559992299999999 7.5599317 7.561695200000001 7.5624286 7.562702499999999 7.5610291 7.5578287 7.561602400000001 7.5521265 7.5418841 7.5328412 7.518070080000001;46.471890179999995 46.4827792 46.483596399999996 46.4870328 46.4907802 46.4922694 46.4988352 46.5025901 46.4992735 46.5036487 46.49855529999999 46.503510600000006 46.4996558 46.5025251 46.499217200000004 46.497805299999996 46.4933013 46.488875799999995 46.484241299999994 46.48247 46.4827575 46.4826328 46.4821293 46.4900417 46.484413 46.4807503 46.468660299999996 46.471890179999995
9;9;7.518070080000001 7.5096397 7.5080506 7.5095174 7.4989622 7.4724963 7.4741156 7.482849099999999 7.492787700000001 7.513872500000001 7.4949183 7.496678200000001 7.520196 7.5228447 7.518070080000001;46.471890179999995 46.4571658 46.4409902 46.445324799999995 46.454048 46.4510977 46.4519264 46.453431099999996 46.454977500000005 46.4583973 46.4625184 46.464597499999996 46.485109 46.480705799999996 46.471890179999995
9;7;7.518070080000001 7.5139181 7.533892900000001 7.5504333 7.5582497 7.5603858 7.567688400000001 7.5620997 7.560667 7.5643618 7.5927929 7.651134 7.6908725 7.68209 7.6770622 7.6774949999999995 7.651919500000001 7.619401 7.6297688 7.6062918 7.570621099999999 7.5497475000000005 7.481530800000001 7.4435118000000005 8.5642807 8.565646000000001 8.5895156 8.6095617 8.62496086222222;46.471890179999995 46.465641399999996 46.4685578 46.4772938 46.482017299999995 46.485482700000006 46.4814565 46.4850157 46.4876376 46.489152000000004 46.5288159 46.5885472 46.6388271 46.6843027 46.6863966 46.6878429 46.7026466 46.722707899999996 46.7547367 46.7671446 46.8820659 46.8914164 46.9572671 46.956964 47.4502756 47.4525934 47.45165720000001 47.446236600000006 47.443536284444434
7;2;8.62496086222222 8.62566198409091;47.443536284444434 47.438623920454546
2;3;8.62566198409091 8.6052135 8.543910396874999;47.438623920454546 47.4445365 47.411929693750004
3;8;8.543910396874999 8.5425071 8.5311016 8.5185101 8.505557199999998 8.531768699999999 8.538634599999998 8.548427766666665;47.411929693750004 47.4140589 47.41352070000001 47.4138262 47.405815000000004 47.3979076 47.391875299999995 47.377712333333335
8;2;8.548427766666665 8.5465815 8.539884599999999 8.62566198409091;47.377712333333335 47.379683299999996 47.3778311 47.438623920454546
