origin;destination;count;waypointsLong;waypointsLat;waypointsLatSchematic;waypointsLongSchematic
3;5;1;8.499841443064994 8.499688049391105 8.49851013657722 8.497048400000002 8.482739244444444 8.480318444444443 8.459660181104063 8.459545314437396 8.459953992215175 8.45622524497533 8.456184122753108 8.45618073552736 8.45618101496828;47.421013358780385 47.42101010780479 47.41936947514902 47.41643492222223 47.41861864444444 47.41765711111111 47.40225016237351 47.40010189570685 47.39954318459573 47.39903957386284 47.399037062751724 47.399059738382924 47.39906608068079;47.421013358780385 47.42101010780479 47.41936947514902 47.41643492222223 47.41861864444444 47.41765711111111 47.40225016237351 47.40010189570685 47.39954318459573 47.39903957386284 47.399037062751724 47.399059738382924 47.39906608068079;8.499841443064994 8.499688049391105 8.49851013657722 8.497048400000002 8.482739244444444 8.480318444444443 8.459660181104063 8.459545314437396 8.459953992215175 8.45622524497533 8.456184122753108 8.45618073552736 8.45618101496828
10;3;1;8.496100969999999 8.496441013333332 8.498016623333333 8.499253766666667 8.500053933333334 8.499695166666667 8.50069936204333 8.499841443064994;47.40243909 47.40284666 47.402048563333345 47.404463 47.404887699999996 47.406034733333335 47.420965272520256 47.421013358780385;47.4382929286409 47.5030290109538;8.48493756455787 8.51032271617763
3;11;1;8.499841443064994 8.50031813576625 8.493885460766249 8.440823485766249 8.4469468 8.4524878 8.445492775000002 8.45030685 8.445787175 8.434878688690477;47.421013358780385 47.421365889695096 47.423297239695096 47.394050264695096 47.251838775 47.2420388 47.128536625 47.1147279 47.093021775 47.08599443785714;47.5030290109538 47.388446035384 47.3879675109955 47.387467401535 47.3869465200621 47.3864057134072 47.3858458607938 47.3852678724102 47.3846726879286 47.3840612749785 47.3834346275727 47.3827937644918 47.3821397276276 47.3814735802896 47.3807964054757 47.3801093041122 47.3794133932635 47.3787098043161 47.3779996811392 47.3772841782255 47.3765644588133 47.3758416929964 47.3751170558211 47.3743917253762 47.3736668808776 47.3729437007509 47.3722233607162 47.3715070318761 47.370795878812 47.3700910576906 47.3693937143844 47.3687049826089 47.1362501787658 47.0911469133887 47.0909691469683 47.0907927002021 47.0906177305005 47.0904443939562 47.0902728452048 47.0901032372872 47.0899357215127 47.0897704473242 47.089607562165 47.0894472113468 47.0892895379208 47.0891346825492 47.0889827833806 47.0888339759261 47.0886883929386 47.0885461642947 47.0884074168782 47.0882722744675 47.0881408576248 47.0880132835887 47.0878896661696 47.0877701156482 47.0876547386769 47.0875436381851 47.0874369132869 47.0873346591928 47.0872369671251 47.0871439242361 47.0870556135305 47.0869721137913 47.0860769792258 47.0860545847531 47.0860299768472 47.0860032247887 47.0859744038949 47.0859435953076 47.0859108857648 47.0858763673563 47.0858401372647 47.0858022974916 47.0857629545702 47.0857222192661 47.0856802062647 47.0856370338486 47.0855928235647 47.0855476998818 47.0855017898404 47.0854552226948 47.0854081295493 47.0853606429891 47.0853128967071 47.0852650251272 47.0852171630263 47.0851694451545 47.0851220058558 47.08507497869 47.0850284960566 47.084982688822 47.0849376859509 47.0848936141438 47.0848506021181 47.0848505974796 47.0848032097265 47.0847568828553 47.0847116942209 47.0846677147529 47.0846250134831 47.0845836574368 47.084543711528 47.0845052384571 47.0844682986129 47.0844329499775 47.0843992480352 47.084367245686 47.0843369931617 47.0843085379478 47.0842819247086 47.0842571952173 47.08423438829 47.0842135397254 47.084194682248 47.0841778454573 47.0841630557808 47.084150336433 47.0841397073786 47.0841311853013 47.0841247835777 47.0841205122562 47.0841183780411 47.0841183842824 47.0841205309704 47.0841248147355 47.0846902193923;8.51032271617763 8.3096572639282 8.30885473680416 8.30808126309146 8.30733810027551 8.30662645656337 8.30594748891951 8.3053023011848 8.30469194228199 8.30411740451037 8.30357962193255 8.30307946885588 8.30261775841102 8.30219524123001 8.30181260422592 8.30147046947606 8.30116939321066 8.30090986490856 8.30069230650142 8.30051707168779 8.30038444535805 8.30029464313126 8.30024781100461 8.30024402511608 8.30028329162062 8.30036554668018 8.30049065656747 8.30065841788339 8.30086855788771 8.30112073494244 8.3014145390673 8.30174949260626 8.42250275767407 8.43690860271333 8.43696941162925 8.43703796647831 8.43711420610185 8.43719806248557 8.43728946082012 8.43738831956791 8.4374945505358 8.43760805895383 8.43772874355969 8.43785649668915 8.43799120437204 8.43813274643394 8.4382809966034 8.43843582262459 8.43859708637527 8.43876464399003 8.43893834598862 8.43911803740931 8.43930355794713 8.43949474209687 8.43969141930077 8.43989341410062 8.44010054629433 8.44031263109666 8.44052947930411 8.44075089746368 8.44097668804544 8.44120664961879 8.44144057703211 8.44167826159585 8.4443227059997 8.44438467175184 8.44444481120963 8.44450295505751 8.4445589395983 8.44461260721413 8.44466380681013 8.44471239423986 8.44475823271114 8.44480119317114 8.44484115466975 8.44487800470006 8.44491163951515 8.44494196442015 8.44496889403887 8.44499235255413 8.44501227392124 8.44502860205394 8.44504129098229 8.4450503049821 8.44505561867552 8.44505721710247 8.44505509576277 8.4450492606288 8.4450397281287 8.44502652510008 8.44500968871454 8.44498926637293 8.44496531557195 8.44493790374227 8.44490709304848 8.44490710805866 8.44486908613123 8.44482836071347 8.44478498071928 8.44473901423942 8.44469053342449 8.4446396143717 8.44458633700538 8.44453078495156 8.44447304540671 8.44441320900086 8.44435136965533 8.44428762443536 8.44422207339766 8.44415481943349 8.44408596810701 8.44401562748971 8.44394390799069 8.44387092218342 8.44379678462899 8.44372161169632 8.44364552137949 8.44356863311255 8.44349106758203 8.44341294653754 8.4433343926006 8.44325552907226 8.44317647973949 8.4430973686809 8.44301832007201 8.4429394579903 8.43461982288076
3;14;1;8.499841443064994 8.506405650000001 8.506921850000001 8.5110755 8.53649986 8.54171901 8.54506082;47.421013358780385 47.419838049999996 47.41968805 47.417708950000005 47.41808844 47.41842314 47.41801848;47.5030290109538 47.4671658520842;8.51032271617763 8.67124686174348
15;3;1;8.537378544736843 8.504062571532497 8.501317921532497 8.500027221532498 8.499627021532497 8.500020971532496 8.499841443064994;47.37735474736843 47.42101932939019 47.421543479390195 47.42151257939019 47.42198012939019 47.42160842939019 47.421013358780385;47.5030290109538 47.4289071266812 47.4285437098894 47.4281666121832 47.427776211169 47.4273728977743 47.4269570758565 47.4265291617983 47.426089584091 47.425638782905 47.4251772096497 47.4247053265207 47.4242236060378 47.423732530571 47.4232325918581 47.4227242905122 47.4222081355202 47.4216846437332 47.421154339349 47.4206177533873 47.4200754231578 47.419527891722 47.4189757073501 47.4184194229709 47.4178595956193 47.4172967858776 47.4167315573147 47.4161644759214 47.4155961095439 47.4150270273154 47.4144577990854 47.41388899485 47.3167787543843;8.51032271617763 8.64654287481605 8.64718846772564 8.64781679452173 8.64842722603006 8.64901915099583 8.64959197669573 8.65014512953146 8.65067805560413 8.6511902212689 8.65168111366932 8.65215024125093 8.6525971342534 8.653021345181 8.65342244925065 8.6538000448173 8.65415375377611 8.65448322194106 8.65478811939963 8.65506814084313 8.65532300587243 8.65555245927878 8.65575627129929 8.65593423784705 8.65608618071549 8.65621194775681 8.65631141303434 8.65638447694865 8.65643106633728 8.65645113454801 8.65644466148556 8.65641165363173 8.64850722139476
3;12;1;8.499841443064994 8.497237271532498 8.490252700000001 8.459582600000001 8.460869599999999 8.460571;47.421013358780385 47.416618229390195 47.41979845 47.401161869999996 47.39847342 47.39831194;47.5030290109538 47.3947878173698;8.51032271617763 8.33383352579025
6;3;1;8.4647898303125 8.45685645 8.492949271532497 8.499841443064994;47.3926001303125 47.40267745 47.42295617939019 47.421013358780385;47.3680263771148 47.402652441325 47.4033036902682 47.4039614840626 47.4046248901727 47.4052929681063 47.4059647707485 47.4066393457036 47.407315736646 47.4079929846754 47.4086701296766 47.4093462116803 47.4100202722242 47.4106913557119 47.4113585107673 47.4120207915838 47.4126772592646 47.4133269831542 47.4139690421573 47.4146025260453 47.4152265367461 47.4158401896173 47.4164426147007 47.4170329579555 47.4176103824687 47.4181740696421 47.4187232203523 47.4192570560839 47.4197748200333 47.4202757781812 47.4207592203335 47.4212244611279 47.501261113302 47.5016322664489 47.5019901142744 47.5023343086066 47.502664514558 47.5029804108511 47.5032816901312 47.5035680592655 47.5038392396279 47.5040949673706 47.5043349936805 47.5045590850216 47.5047670233616 47.5049586063847 47.5051336476882 47.5052919769637 47.5054334401631 47.5055578996483 47.505665234325 47.5057553397607 47.5058281282866 47.5058835290821 47.5059214882444 47.5059419688409 47.5059449509446 47.5059304316541 47.5058984250962 47.5058489624118 47.5057820917264 47.5056978781023 47.5055964034763 47.5030290109538;8.34686534577226 8.33126014162001 8.33098595035889 8.33074807135145 8.33054684183201 8.33038254707794 8.33025542000524 8.33016564083836 8.33011333685466 8.33009858220403 8.3301213978037 8.33018175130866 8.33027955715745 8.3304146766935 8.33058691836168 8.33079603797987 8.33104173908513 8.33132367335399 8.33164144109624 8.33199459182159 8.33238262487827 8.33280499016286 8.33326108890009 8.33375027449174 8.33427185343329 8.33482508629709 8.33540918878064 8.33602333281844 8.33666664775594 8.33733822158382 8.33803710223095 8.33876229891409 8.4683046267828 8.46892569746189 8.4695635501137 8.47021756413262 8.47088710318868 8.47157151584662 8.47227013619979 8.47298228451799 8.47370726790884 8.47444438099194 8.47519290658517 8.47595211640251 8.47672127176258 8.47749962430739 8.47828641673044 8.47908088351358 8.47988225167179 8.48068974150528 8.48150256735814 8.48231993838268 8.48314105930897 8.48396513121856 8.48479135232181 8.48561891873799 8.48644702527745 8.487274866225 8.4881016361239 8.48892653055944 8.48974874694172 8.49056748528644 8.49138194899331 8.51032271617763
5;9;1;8.45618101496828 8.456218504989424 8.456364071656091 8.4606053 8.460803266666666 8.4578326 8.458818933333333 8.46268351904762 8.463437778571429;47.39906608068079 47.39898426022693 47.39899416022693 47.399730000000005 47.40064793333334 47.4041559 47.40553096666667 47.40893956904762 47.40902555357142;47.3982249030148 47.4427057880873;8.32428242888979 8.34664477680247
9;3;1;8.463437778571429 8.464239889285714 8.466525050000001 8.4691779 8.4745712 8.481619349999999 8.494395650000001 8.499156221532498 8.499841443064994;47.409025553571425 47.40961582678571 47.411866700000004 47.41231429999999 47.41314455 47.415314699999996 47.41334859999999 47.420959179390195 47.421013358780385;47.4427057880873 47.4811411979793 47.4812365276855 47.4813346473058 47.4814355401382 47.4815391890086 47.4816455762738 47.4817546838247 47.4818664930889 47.4819809850342 47.4820981401717 47.4822179385592 47.4823403598045 47.4824653830692 47.4825929870717 47.4827231500912 47.4828558499712 47.4829910641237 47.4831287695323 47.4832689427568 47.4834115599368 47.4835565967961 47.4837040286464 47.4838538303917 47.4840059765328 47.4841604411713 47.4843171980141 47.4844762203781 47.4846374811944 47.4848009530132 47.4849666080081 47.4851344179814 47.5030290109538;8.34664477680247 8.47637255290235 8.47668892152326 8.4770034285278 8.47731602038047 8.47762664387175 8.47793524612721 8.47824177461646 8.47854617716209 8.47884840194859 8.47914839753115 8.4794461128444 8.47974149721113 8.48003450035091 8.48032507238862 8.48061316386298 8.48089872573496 8.48118170939611 8.48146206667684 8.48173974985463 8.48201471166214 8.48228690529527 8.48255628442112 8.48282280318587 8.48308641622259 8.48334707865899 8.48360474612499 8.48385937476035 8.48411092122208 8.48435934269184 8.48460459688325 8.48484664204905 8.51032271617763
1;10;1;8.507412548555335 8.5047466 8.49880995 8.496100969999999;47.40839137110055 47.40522765 47.40207805 47.40243909;47.4382929286409 47.4590607732435;8.48493756455787 8.56522597085004
10;1;1;8.496100969999999 8.498291349999999 8.501248350000001 8.507551924277667 8.507412548555335;47.40243909 47.402059699999995 47.4032252 47.40877468555028 47.40839137110055;47.40243909 47.402059699999995 47.4032252 47.40877468555028 47.40839137110055;8.496100969999999 8.498291349999999 8.501248350000001 8.507551924277667 8.507412548555335
17;3;1;8.545237191666667 8.5443417 8.543725550000001 8.53711475 8.51933105 8.503198721532497 8.499841443064994;47.41062463333333 47.4130114 47.413058 47.4133411 47.414534700000004 47.42018037939019 47.421013358780385;47.4420614993333 47.5030290109538;8.67926574357541 8.51032271617763
3;15;1;8.499841443064994 8.501373266666668 8.501610666666666 8.506338333333334 8.5159881 8.518020533333333 8.532974533333332 8.533193566666666 8.533176666666666 8.533610133333333 8.537838766666667 8.538098566666667 8.537993014912281 8.537378544736843;47.421013358780385 47.4209624 47.4209576 47.4191684 47.41493243333334 47.414339899999995 47.40466276666667 47.3978764 47.39745753333333 47.3967547 47.3904504 47.3884675 47.379581615789476 47.37735474736843;47.421013358780385 47.4209624 47.4209576 47.4191684 47.41493243333334 47.414339899999995 47.40466276666667 47.3978764 47.39745753333333 47.3967547 47.3904504 47.3884675 47.379581615789476 47.37735474736843;8.499841443064994 8.501373266666668 8.501610666666666 8.506338333333334 8.5159881 8.518020533333333 8.532974533333332 8.533193566666666 8.533176666666666 8.533610133333333 8.537838766666667 8.538098566666667 8.537993014912281 8.537378544736843
1;17;1;8.507412548555335 8.50789785 8.523566299999999 8.543086145833332 8.545237191666667;47.40839137110055 47.40953475 47.41360845 47.412314116666664 47.41062463333333;47.4590607732435 47.4645675599441 47.464637774305 47.464697980025 47.4647481432088 47.4647882356149 47.4648182346719 47.4648381234904 47.4648478908733 47.4648475313217 47.4648370450379 47.4648164379256 47.4647857215865 47.4647449133135 47.4646940360814 47.4646331185334 47.4645621949656 47.4644813053073 47.4643904950985 47.4642898154646 47.4641793230872 47.4640590801724 47.4639291544159 47.4637896189645 47.4636405523754 47.4634820385717 47.463314166795 47.4631370315556 47.4629507325789 47.4627553747495 47.4625510680518 47.4623379275086 47.4420614993333;8.56522597085004 8.61058803034173 8.61120889191407 8.61183203537045 8.61245710988711 8.61308376355315 8.61371164356861 8.61434039644311 8.61496966819486 8.61559910454993 8.61622835114176 8.61685705371058 8.61748485830294 8.6181114114709 8.61873636047109 8.61935935346326 8.61998003970839 8.62059806976611 8.62121309569146 8.62182477123081 8.62243275201674 8.62303669576193 8.62363626245189 8.62423111453638 8.62482091711941 8.62540533814784 8.62598404859827 8.62655672266231 8.62712303793001 8.62768267557132 8.62823532051568 8.62878066162932 8.67926574357541
14;1;1;8.54506082 8.54529421 8.54597981 8.544850409999999 8.5253683 8.520406399999999 8.507516674277667 8.507109274277667 8.507412548555335;47.41801848 47.41746854 47.41465029 47.41511044 47.41393915 47.41455405000001 47.41002933555028 47.40815453555028 47.40839137110055;47.4671658520842 47.4590607732435;8.67124686174348 8.56522597085004
22;4;1;8.549183675 8.547384749999999 8.546461364285715;47.37405830833333 47.3753054 47.37660243333333;47.3141569334133 47.3199354569125;8.67272390168966 8.66962667479755
